,Teacher_ID,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization
3123,29,Doyon,Law,2016,391,37,17,20,0.45,44,Medium-Low Digitalization
3131,29,Doyon,Law,2016,392,19,3,16,0.13,13,Low Digitalization
3139,29,Doyon,Law,2016,393,13,1,12,0.04,4,Low Digitalization
3147,29,Doyon,Law,2016,394,23,5,18,0.21,20,Low Digitalization
3155,29,Doyon,Law,2016,395,11,8,3,0.76,75,Medium-High Digitalization
3163,29,Doyon,Law,2016,396,25,2,23,0.08,8,Low Digitalization
3171,29,Doyon,Law,2016,397,59,17,42,0.29,28,Medium-Low Digitalization
3179,29,Doyon,Law,2016,398,16,13,3,0.79,79,Medium-High Digitalization
3187,29,Doyon,Law,2016,399,6,2,4,0.28,28,Medium-Low Digitalization
3195,29,Doyon,Law,2016,400,25,5,20,0.22,21,Medium-Low Digitalization
3203,29,Doyon,Law,2016,401,22,3,19,0.15,14,Low Digitalization
3211,29,Doyon,Law,2016,402,10,7,3,0.67,67,Medium-High Digitalization
3219,30,Lard,Law,2016,403,20,11,9,0.53,53,Medium-High Digitalization
3227,30,Lard,Law,2016,404,40,17,23,0.43,43,Medium-Low Digitalization
3235,30,Lard,Law,2016,405,25,16,9,0.65,65,Medium-High Digitalization
3243,30,Lard,Law,2016,406,9,5,4,0.57,56,Medium-High Digitalization
3251,30,Lard,Law,2016,407,30,20,10,0.66,66,Medium-High Digitalization
3259,30,Lard,Law,2016,408,5,1,4,0.1,10,Low Digitalization
3267,30,Lard,Law,2016,409,34,12,22,0.34,34,Medium-Low Digitalization
3275,30,Lard,Law,2016,410,10,4,6,0.36,36,Medium-Low Digitalization
3283,30,Lard,Law,2016,411,15,5,10,0.32,32,Medium-Low Digitalization
3291,31,Michelin,Engineering,2016,412,24,13,11,0.54,53,Medium-High Digitalization
3299,31,Michelin,Engineering,2016,413,19,6,13,0.3,29,Medium-Low Digitalization
3307,31,Michelin,Engineering,2016,414,37,12,25,0.31,31,Medium-Low Digitalization
3315,31,Michelin,Engineering,2016,415,30,16,14,0.52,51,Medium-High Digitalization
3323,31,Michelin,Engineering,2016,416,40,25,15,0.63,63,Medium-High Digitalization
3331,31,Michelin,Engineering,2016,417,43,28,15,0.65,64,Medium-High Digitalization
3339,31,Michelin,Engineering,2016,418,10,2,8,0.21,21,Medium-Low Digitalization
3347,31,Michelin,Engineering,2016,419,11,5,6,0.43,43,Medium-Low Digitalization
3355,31,Michelin,Engineering,2016,420,23,7,16,0.3,30,Medium-Low Digitalization
3363,31,Michelin,Engineering,2016,421,14,10,4,0.73,73,Medium-High Digitalization
3371,31,Michelin,Engineering,2016,422,6,1,5,0.11,11,Low Digitalization
3379,31,Michelin,Engineering,2016,423,9,6,3,0.7,70,Medium-High Digitalization
3387,31,Michelin,Engineering,2016,424,15,2,13,0.12,12,Low Digitalization
3395,31,Michelin,Engineering,2016,425,9,2,7,0.27,26,Medium-Low Digitalization
3403,31,Michelin,Engineering,2016,426,11,0,11,0.05,4,Low Digitalization
3411,31,Michelin,Engineering,2016,427,32,23,9,0.73,73,Medium-High Digitalization
3419,31,Michelin,Engineering,2016,428,38,14,24,0.36,36,Medium-Low Digitalization
3427,32,Dusseault,Engineering,2016,429,13,7,6,0.57,57,Medium-High Digitalization
3435,32,Dusseault,Engineering,2016,430,11,3,8,0.28,28,Medium-Low Digitalization
3443,32,Dusseault,Engineering,2016,431,5,3,2,0.57,57,Medium-High Digitalization
3451,32,Dusseault,Engineering,2016,432,57,8,49,0.13,13,Low Digitalization
3459,32,Dusseault,Engineering,2016,433,21,9,12,0.43,43,Medium-Low Digitalization
3467,32,Dusseault,Engineering,2016,434,16,7,9,0.45,45,Medium-Low Digitalization
3475,32,Dusseault,Engineering,2016,435,33,23,10,0.68,68,Medium-High Digitalization
3483,32,Dusseault,Engineering,2016,436,11,3,8,0.31,31,Medium-Low Digitalization
3491,32,Dusseault,Engineering,2016,437,23,3,20,0.11,11,Low Digitalization
3499,32,Dusseault,Engineering,2016,438,35,2,33,0.05,4,Low Digitalization
3507,32,Dusseault,Engineering,2016,439,33,23,10,0.69,68,Medium-High Digitalization
3515,32,Dusseault,Engineering,2016,440,7,4,3,0.63,63,Medium-High Digitalization
3523,32,Dusseault,Engineering,2016,441,14,2,12,0.14,14,Low Digitalization
3531,32,Dusseault,Engineering,2016,442,5,1,4,0.17,17,Low Digitalization
3539,32,Dusseault,Engineering,2016,443,29,13,16,0.44,44,Medium-Low Digitalization
3547,32,Dusseault,Engineering,2016,444,11,3,8,0.31,30,Medium-Low Digitalization
3555,32,Dusseault,Engineering,2016,445,8,3,5,0.43,43,Medium-Low Digitalization
3563,32,Dusseault,Engineering,2016,446,30,12,18,0.38,38,Medium-Low Digitalization
3571,32,Dusseault,Engineering,2016,447,22,14,8,0.63,63,Medium-High Digitalization
3579,33,Malboeuf,Engineering,2016,448,6,3,3,0.51,50,Medium-Low Digitalization
3587,33,Malboeuf,Engineering,2016,449,18,7,11,0.41,40,Medium-Low Digitalization
3595,33,Malboeuf,Engineering,2016,450,23,9,14,0.39,39,Medium-Low Digitalization
3603,33,Malboeuf,Engineering,2016,451,14,9,5,0.62,62,Medium-High Digitalization
3611,33,Malboeuf,Engineering,2016,452,12,2,10,0.13,13,Low Digitalization
3619,33,Malboeuf,Engineering,2016,453,30,1,29,0.02,2,Low Digitalization
3627,33,Malboeuf,Engineering,2016,454,23,1,22,0.03,3,Low Digitalization
3635,33,Malboeuf,Engineering,2016,455,7,0,7,0.07,7,Low Digitalization
3643,33,Malboeuf,Engineering,2016,456,8,1,7,0.18,18,Low Digitalization
3651,33,Malboeuf,Engineering,2016,457,60,42,18,0.7,70,Medium-High Digitalization
3659,33,Malboeuf,Engineering,2016,458,6,0,6,0.04,4,Low Digitalization
3667,33,Malboeuf,Engineering,2016,459,29,10,19,0.36,35,Medium-Low Digitalization
3675,33,Malboeuf,Engineering,2016,460,22,13,9,0.59,58,Medium-High Digitalization
3683,33,Malboeuf,Engineering,2016,461,36,2,34,0.06,6,Low Digitalization
3691,33,Malboeuf,Engineering,2016,462,11,1,10,0.09,8,Low Digitalization
3699,33,Malboeuf,Engineering,2016,463,22,13,9,0.58,58,Medium-High Digitalization
3707,33,Malboeuf,Engineering,2016,464,37,17,20,0.45,44,Medium-Low Digitalization
3715,33,Malboeuf,Engineering,2016,465,34,7,27,0.21,20,Low Digitalization
3723,34,Edin,Engineering,2016,466,19,8,11,0.44,44,Medium-Low Digitalization
3731,34,Edin,Engineering,2016,467,38,11,27,0.29,28,Medium-Low Digitalization
3739,34,Edin,Engineering,2016,468,32,13,19,0.42,42,Medium-Low Digitalization
3747,34,Edin,Engineering,2016,469,5,1,4,0.15,15,Low Digitalization
3755,34,Edin,Engineering,2016,470,37,25,12,0.68,67,Medium-High Digitalization
3763,34,Edin,Engineering,2016,471,21,6,15,0.26,26,Medium-Low Digitalization
3771,34,Edin,Engineering,2016,472,31,5,26,0.16,16,Low Digitalization
3779,35,Bressan,Engineering,2016,473,11,6,5,0.52,51,Medium-High Digitalization
3787,35,Bressan,Engineering,2016,474,24,3,21,0.14,13,Low Digitalization
3795,35,Bressan,Engineering,2016,475,39,6,33,0.16,16,Low Digitalization
3803,35,Bressan,Engineering,2016,476,33,20,13,0.6,60,Medium-High Digitalization
3811,35,Bressan,Engineering,2016,477,28,4,24,0.13,13,Low Digitalization
3819,35,Bressan,Engineering,2016,478,24,7,17,0.3,29,Medium-Low Digitalization
3827,35,Bressan,Engineering,2016,479,16,9,7,0.54,53,Medium-High Digitalization
3835,35,Bressan,Engineering,2016,480,14,5,9,0.33,32,Medium-Low Digitalization
3843,36,Arcement,Engineering,2016,481,15,7,8,0.45,44,Medium-Low Digitalization
3851,36,Arcement,Engineering,2016,482,31,12,19,0.4,39,Medium-Low Digitalization
3859,36,Arcement,Engineering,2016,483,12,2,10,0.17,17,Low Digitalization
3867,36,Arcement,Engineering,2016,484,6,2,4,0.41,40,Medium-Low Digitalization
3875,36,Arcement,Engineering,2016,485,36,17,19,0.46,46,Medium-Low Digitalization
3883,36,Arcement,Engineering,2016,486,29,17,12,0.6,59,Medium-High Digitalization
3891,36,Arcement,Engineering,2016,487,8,2,6,0.2,19,Low Digitalization
3899,36,Arcement,Engineering,2016,488,40,5,35,0.13,12,Low Digitalization
3907,36,Arcement,Engineering,2016,489,16,3,13,0.18,18,Low Digitalization
3915,36,Arcement,Engineering,2016,490,45,9,36,0.2,20,Low Digitalization
3923,36,Arcement,Engineering,2016,491,13,0,13,0.02,2,Low Digitalization
3931,36,Arcement,Engineering,2016,492,39,26,13,0.68,67,Medium-High Digitalization
3939,36,Arcement,Engineering,2016,493,11,8,3,0.72,72,Medium-High Digitalization
3947,36,Arcement,Engineering,2016,494,13,6,7,0.43,42,Medium-Low Digitalization
3955,36,Arcement,Engineering,2016,495,17,12,5,0.69,68,Medium-High Digitalization
3963,36,Arcement,Engineering,2016,496,9,4,5,0.46,46,Medium-Low Digitalization
3971,36,Arcement,Engineering,2016,497,11,5,6,0.47,47,Medium-Low Digitalization
3979,36,Arcement,Engineering,2016,498,33,12,21,0.35,35,Medium-Low Digitalization
3987,37,Gayton,Management,2016,499,26,4,22,0.16,15,Low Digitalization
3995,37,Gayton,Management,2016,500,14,4,10,0.29,29,Medium-Low Digitalization
4003,37,Gayton,Management,2016,501,7,5,2,0.73,73,Medium-High Digitalization
4011,37,Gayton,Management,2016,502,6,0,6,0.05,4,Low Digitalization
4019,37,Gayton,Management,2016,503,36,14,22,0.38,38,Medium-Low Digitalization
4027,37,Gayton,Management,2016,504,6,1,5,0.2,19,Low Digitalization
4035,37,Gayton,Management,2016,505,34,6,28,0.16,16,Low Digitalization
4043,37,Gayton,Management,2016,506,11,2,9,0.15,15,Low Digitalization
4051,37,Gayton,Management,2016,507,7,4,3,0.61,60,Medium-High Digitalization
4059,37,Gayton,Management,2016,508,16,3,13,0.18,18,Low Digitalization
4067,37,Gayton,Management,2016,509,39,13,26,0.33,33,Medium-Low Digitalization
4075,37,Gayton,Management,2016,510,24,11,13,0.46,45,Medium-Low Digitalization
4083,37,Gayton,Management,2016,511,40,29,11,0.73,73,Medium-High Digitalization
4091,37,Gayton,Management,2016,512,7,1,6,0.07,7,Low Digitalization
4099,37,Gayton,Management,2016,513,32,10,22,0.33,32,Medium-Low Digitalization
4107,37,Gayton,Management,2016,514,34,22,12,0.65,64,Medium-High Digitalization
4115,37,Gayton,Management,2016,515,32,15,17,0.46,45,Medium-Low Digitalization
4123,38,Tally,Management,2016,516,10,5,5,0.53,53,Medium-High Digitalization
4131,38,Tally,Management,2016,517,33,20,13,0.62,62,Medium-High Digitalization
4139,38,Tally,Management,2016,518,24,8,16,0.34,34,Medium-Low Digitalization
4147,38,Tally,Management,2016,519,40,10,30,0.25,24,Medium-Low Digitalization
4155,38,Tally,Management,2016,520,17,0,17,0.01,1,Low Digitalization
4163,38,Tally,Management,2016,521,17,9,8,0.55,55,Medium-High Digitalization
4171,38,Tally,Management,2016,522,23,11,12,0.46,45,Medium-Low Digitalization
4179,38,Tally,Management,2016,523,33,5,28,0.16,16,Low Digitalization
4187,38,Tally,Management,2016,524,27,1,26,0.02,2,Low Digitalization
4195,38,Tally,Management,2016,525,31,1,30,0.02,2,Low Digitalization
4203,38,Tally,Management,2016,526,25,12,13,0.47,46,Medium-Low Digitalization
4211,38,Tally,Management,2016,527,8,2,6,0.2,20,Low Digitalization
4219,38,Tally,Management,2016,528,23,7,16,0.29,29,Medium-Low Digitalization
4227,38,Tally,Management,2016,529,54,11,43,0.2,20,Low Digitalization
4235,39,Munier,Management,2016,530,19,5,14,0.24,24,Medium-Low Digitalization
4243,39,Munier,Management,2016,531,40,4,36,0.1,9,Low Digitalization
4251,39,Munier,Management,2016,532,40,6,34,0.16,15,Low Digitalization
4259,39,Munier,Management,2016,533,29,7,22,0.25,24,Medium-Low Digitalization
4267,39,Munier,Management,2016,534,15,0,15,0.03,3,Low Digitalization
4275,39,Munier,Management,2016,535,31,14,17,0.46,45,Medium-Low Digitalization
4283,39,Munier,Management,2016,536,24,11,13,0.44,44,Medium-Low Digitalization
4291,40,Pleau,Management,2016,537,14,5,9,0.36,35,Medium-Low Digitalization
4299,40,Pleau,Management,2016,538,30,2,28,0.06,5,Low Digitalization
4307,40,Pleau,Management,2016,539,36,29,7,0.81,81,High Digitalization
4315,40,Pleau,Management,2016,540,26,19,7,0.73,72,Medium-High Digitalization
4323,40,Pleau,Management,2016,541,10,6,4,0.63,62,Medium-High Digitalization
4331,40,Pleau,Management,2016,542,9,3,6,0.38,37,Medium-Low Digitalization
4339,40,Pleau,Management,2016,543,20,7,13,0.33,33,Medium-Low Digitalization
4347,40,Pleau,Management,2016,544,11,2,9,0.17,17,Low Digitalization
4355,40,Pleau,Management,2016,545,12,8,4,0.69,69,Medium-High Digitalization
4363,40,Pleau,Management,2016,546,10,2,8,0.16,15,Low Digitalization
4371,40,Pleau,Management,2016,547,14,9,5,0.62,62,Medium-High Digitalization
4379,41,Millon,Management,2016,548,49,12,37,0.25,24,Medium-Low Digitalization
4387,41,Millon,Management,2016,549,19,8,11,0.41,41,Medium-Low Digitalization
4395,41,Millon,Management,2016,550,12,3,9,0.25,24,Medium-Low Digitalization
4403,41,Millon,Management,2016,551,34,8,26,0.25,24,Medium-Low Digitalization
4411,41,Millon,Management,2016,552,8,4,4,0.55,54,Medium-High Digitalization
4419,41,Millon,Management,2016,553,37,9,28,0.25,25,Medium-Low Digitalization
4427,41,Millon,Management,2016,554,25,19,6,0.74,74,Medium-High Digitalization
4435,41,Millon,Management,2016,555,34,30,4,0.87,87,High Digitalization
4443,41,Millon,Management,2016,556,24,1,23,0.06,5,Low Digitalization
4451,41,Millon,Management,2016,557,53,9,44,0.18,17,Low Digitalization
4459,41,Millon,Management,2016,558,8,5,3,0.59,58,Medium-High Digitalization
4467,41,Millon,Management,2016,559,30,17,13,0.57,56,Medium-High Digitalization
4475,41,Millon,Management,2016,560,40,19,21,0.48,48,Medium-Low Digitalization
4483,42,Sandoz,Management,2016,561,27,2,25,0.06,6,Low Digitalization
4491,42,Sandoz,Management,2016,562,54,7,47,0.13,12,Low Digitalization
4499,42,Sandoz,Management,2016,563,30,20,10,0.66,65,Medium-High Digitalization
4507,42,Sandoz,Management,2016,564,19,12,7,0.61,60,Medium-High Digitalization
4515,42,Sandoz,Management,2016,565,13,2,11,0.16,16,Low Digitalization
4523,42,Sandoz,Management,2016,566,35,3,32,0.07,7,Low Digitalization
4531,42,Sandoz,Management,2016,567,19,7,12,0.39,38,Medium-Low Digitalization
4539,42,Sandoz,Management,2016,568,7,4,3,0.57,56,Medium-High Digitalization
4547,42,Sandoz,Management,2016,569,24,1,23,0.06,6,Low Digitalization
4555,42,Sandoz,Management,2016,570,10,1,9,0.12,11,Low Digitalization
4563,42,Sandoz,Management,2016,571,16,4,12,0.25,24,Medium-Low Digitalization
4571,42,Sandoz,Management,2016,572,9,4,5,0.4,40,Medium-Low Digitalization
4579,42,Sandoz,Management,2016,573,22,5,17,0.22,22,Medium-Low Digitalization
4587,42,Sandoz,Management,2016,574,7,5,2,0.71,70,Medium-High Digitalization
4595,42,Sandoz,Management,2016,575,10,2,8,0.2,20,Low Digitalization
4603,42,Sandoz,Management,2016,576,19,11,8,0.59,58,Medium-High Digitalization
4611,42,Sandoz,Management,2016,577,5,2,3,0.46,45,Medium-Low Digitalization
4619,42,Sandoz,Management,2016,578,34,24,10,0.7,69,Medium-High Digitalization
4627,42,Sandoz,Management,2016,579,8,2,6,0.22,22,Medium-Low Digitalization
4635,43,Totin,Management,2016,580,33,17,16,0.52,52,Medium-High Digitalization
4643,43,Totin,Management,2016,581,12,0,12,0.02,2,Low Digitalization
4651,43,Totin,Management,2016,582,15,7,8,0.49,49,Medium-Low Digitalization
4659,43,Totin,Management,2016,583,34,9,25,0.27,27,Medium-Low Digitalization
4667,43,Totin,Management,2016,584,33,18,15,0.53,53,Medium-High Digitalization
4675,43,Totin,Management,2016,585,53,14,39,0.26,25,Medium-Low Digitalization
4683,43,Totin,Management,2016,586,10,3,7,0.26,25,Medium-Low Digitalization
4691,44,Lemaitre,Art,2016,587,36,9,27,0.25,25,Medium-Low Digitalization
4699,44,Lemaitre,Art,2016,588,10,4,6,0.36,35,Medium-Low Digitalization
4707,44,Lemaitre,Art,2016,589,7,4,3,0.61,61,Medium-High Digitalization
4715,44,Lemaitre,Art,2016,590,31,4,27,0.14,14,Low Digitalization
4723,44,Lemaitre,Art,2016,591,24,3,21,0.12,11,Low Digitalization
4731,44,Lemaitre,Art,2016,592,32,15,17,0.46,45,Medium-Low Digitalization
4739,44,Lemaitre,Art,2016,593,40,28,12,0.7,69,Medium-High Digitalization
4747,44,Lemaitre,Art,2016,594,19,8,11,0.4,40,Medium-Low Digitalization
4755,44,Lemaitre,Art,2016,595,47,10,37,0.21,20,Low Digitalization
4763,44,Lemaitre,Art,2016,596,15,9,6,0.62,61,Medium-High Digitalization
4771,44,Lemaitre,Art,2016,597,40,8,32,0.19,18,Low Digitalization
4779,44,Lemaitre,Art,2016,598,6,2,4,0.35,35,Medium-Low Digitalization
4787,44,Lemaitre,Art,2016,599,15,2,13,0.12,12,Low Digitalization
4795,44,Lemaitre,Art,2016,600,46,20,26,0.43,43,Medium-Low Digitalization
4803,45,Holveck,Art,2016,601,50,28,22,0.56,56,Medium-High Digitalization
4811,45,Holveck,Art,2016,602,13,8,5,0.65,64,Medium-High Digitalization
4819,45,Holveck,Art,2016,603,36,13,23,0.37,37,Medium-Low Digitalization
4827,45,Holveck,Art,2016,604,13,10,3,0.75,75,Medium-High Digitalization
4835,45,Holveck,Art,2016,605,9,3,6,0.3,30,Medium-Low Digitalization
4843,45,Holveck,Art,2016,606,12,3,9,0.29,28,Medium-Low Digitalization
4851,45,Holveck,Art,2016,607,21,9,12,0.43,43,Medium-Low Digitalization
4859,45,Holveck,Art,2016,608,5,3,2,0.59,59,Medium-High Digitalization
4867,45,Holveck,Art,2016,609,15,7,8,0.44,43,Medium-Low Digitalization
4875,45,Holveck,Art,2016,610,14,5,9,0.36,35,Medium-Low Digitalization
4883,46,Baize,Art,2016,611,15,7,8,0.43,43,Medium-Low Digitalization
4891,46,Baize,Art,2016,612,14,8,6,0.54,54,Medium-High Digitalization
4899,46,Baize,Art,2016,613,19,8,11,0.42,42,Medium-Low Digitalization
4907,46,Baize,Art,2016,614,49,22,27,0.45,44,Medium-Low Digitalization
4915,46,Baize,Art,2016,615,10,3,7,0.34,33,Medium-Low Digitalization
4923,46,Baize,Art,2016,616,10,6,4,0.58,58,Medium-High Digitalization
4931,46,Baize,Art,2016,617,25,10,15,0.4,39,Medium-Low Digitalization
4939,46,Baize,Art,2016,618,17,2,15,0.14,14,Low Digitalization
4947,46,Baize,Art,2016,619,6,4,2,0.6,60,Medium-High Digitalization
4955,46,Baize,Art,2016,620,33,13,20,0.39,38,Medium-Low Digitalization
4963,47,Trembly,Art,2016,621,41,15,26,0.36,36,Medium-Low Digitalization
4971,47,Trembly,Art,2016,622,10,1,9,0.1,9,Low Digitalization
4979,47,Trembly,Art,2016,623,33,19,14,0.56,56,Medium-High Digitalization
4987,47,Trembly,Art,2016,624,20,4,16,0.2,20,Low Digitalization
4995,47,Trembly,Art,2016,625,34,1,33,0.02,2,Low Digitalization
5003,47,Trembly,Art,2016,626,7,1,6,0.09,9,Low Digitalization
5011,47,Trembly,Art,2016,627,15,4,11,0.28,28,Medium-Low Digitalization
5019,47,Trembly,Art,2016,628,15,7,8,0.49,49,Medium-Low Digitalization
5027,47,Trembly,Art,2016,629,16,11,5,0.67,67,Medium-High Digitalization
5035,47,Trembly,Art,2016,630,26,11,15,0.42,41,Medium-Low Digitalization
5043,47,Trembly,Art,2016,631,32,6,26,0.2,20,Low Digitalization
5051,47,Trembly,Art,2016,632,14,10,4,0.73,73,Medium-High Digitalization
5059,47,Trembly,Art,2016,633,8,4,4,0.53,52,Medium-High Digitalization
5067,47,Trembly,Art,2016,634,53,13,40,0.25,24,Medium-Low Digitalization
5075,47,Trembly,Art,2016,635,33,18,15,0.56,55,Medium-High Digitalization
5083,47,Trembly,Art,2016,636,33,11,22,0.33,32,Medium-Low Digitalization
5091,48,Doris,Art,2016,637,10,0,10,0.01,1,Low Digitalization
5099,48,Doris,Art,2016,638,7,3,4,0.46,45,Medium-Low Digitalization
5107,48,Doris,Art,2016,639,30,15,15,0.5,49,Medium-Low Digitalization
5115,48,Doris,Art,2016,640,46,29,17,0.63,63,Medium-High Digitalization
5123,48,Doris,Art,2016,641,25,6,19,0.22,22,Medium-Low Digitalization
5131,48,Doris,Art,2016,642,31,1,30,0.04,3,Low Digitalization
5139,48,Doris,Art,2016,643,6,0,6,0.02,2,Low Digitalization
5147,48,Doris,Art,2016,644,9,4,5,0.43,43,Medium-Low Digitalization
5155,48,Doris,Art,2016,645,11,8,3,0.72,71,Medium-High Digitalization
5163,48,Doris,Art,2016,646,10,2,8,0.19,18,Low Digitalization
5171,48,Doris,Art,2016,647,15,11,4,0.75,75,Medium-High Digitalization
5179,48,Doris,Art,2016,648,44,3,41,0.07,7,Low Digitalization
5187,48,Doris,Art,2016,649,21,5,16,0.24,23,Medium-Low Digitalization
5195,48,Doris,Art,2016,650,31,17,14,0.56,55,Medium-High Digitalization
5203,48,Doris,Art,2016,651,32,13,19,0.4,39,Medium-Low Digitalization
5211,48,Doris,Art,2016,652,29,10,19,0.33,32,Medium-Low Digitalization
5219,48,Doris,Art,2016,653,28,18,10,0.64,64,Medium-High Digitalization
5227,49,Letendre,Art,2016,654,20,1,19,0.05,5,Low Digitalization
5235,49,Letendre,Art,2016,655,28,1,27,0.04,3,Low Digitalization
5243,49,Letendre,Art,2016,656,11,5,6,0.47,46,Medium-Low Digitalization
5251,49,Letendre,Art,2016,657,6,2,4,0.4,40,Medium-Low Digitalization
5259,49,Letendre,Art,2016,658,8,4,4,0.49,48,Medium-Low Digitalization
5267,49,Letendre,Art,2016,659,30,20,10,0.68,67,Medium-High Digitalization
5275,49,Letendre,Art,2016,660,25,7,18,0.28,27,Medium-Low Digitalization
5283,49,Letendre,Art,2016,661,32,4,28,0.12,12,Low Digitalization
5291,49,Letendre,Art,2016,662,20,8,12,0.4,40,Medium-Low Digitalization
5299,49,Letendre,Art,2016,663,7,2,5,0.24,23,Medium-Low Digitalization
5307,50,St. Julien,Art,2016,664,8,3,5,0.32,32,Medium-Low Digitalization
5315,50,St. Julien,Art,2016,665,11,5,6,0.45,45,Medium-Low Digitalization
5323,50,St. Julien,Art,2016,666,9,6,3,0.67,67,Medium-High Digitalization
5331,50,St. Julien,Art,2016,667,32,20,12,0.62,62,Medium-High Digitalization
5339,50,St. Julien,Art,2016,668,35,4,31,0.12,11,Low Digitalization
5347,50,St. Julien,Art,2016,669,9,3,6,0.28,28,Medium-Low Digitalization
5355,50,St. Julien,Art,2016,670,42,27,15,0.64,63,Medium-High Digitalization
5363,50,St. Julien,Art,2016,671,15,8,7,0.54,54,Medium-High Digitalization
5371,50,St. Julien,Art,2016,672,15,0,15,0.02,2,Low Digitalization
5379,50,St. Julien,Art,2016,673,12,2,10,0.18,17,Low Digitalization
5387,51,Frederic,Economy,2016,674,46,22,24,0.49,48,Medium-Low Digitalization
5395,51,Frederic,Economy,2016,675,6,3,3,0.53,52,Medium-High Digitalization
5403,51,Frederic,Economy,2016,676,14,9,5,0.62,62,Medium-High Digitalization
5411,51,Frederic,Economy,2016,677,11,7,4,0.66,66,Medium-High Digitalization
5419,51,Frederic,Economy,2016,678,40,4,36,0.11,11,Low Digitalization
5427,51,Frederic,Economy,2016,679,25,15,10,0.61,61,Medium-High Digitalization
5435,51,Frederic,Economy,2016,680,9,5,4,0.53,53,Medium-High Digitalization
5443,51,Frederic,Economy,2016,681,26,16,10,0.62,61,Medium-High Digitalization
5451,51,Frederic,Economy,2016,682,13,7,6,0.54,53,Medium-High Digitalization
5459,52,Maheu,Economy,2016,683,9,4,5,0.49,48,Medium-Low Digitalization
5467,52,Maheu,Economy,2016,684,11,4,7,0.36,35,Medium-Low Digitalization
5475,52,Maheu,Economy,2016,685,15,7,8,0.45,45,Medium-Low Digitalization
5483,52,Maheu,Economy,2016,686,24,3,21,0.11,11,Low Digitalization
5491,52,Maheu,Economy,2016,687,27,2,25,0.08,8,Low Digitalization
5499,52,Maheu,Economy,2016,688,8,4,4,0.51,50,Medium-Low Digitalization
5507,52,Maheu,Economy,2016,689,34,5,29,0.16,15,Low Digitalization
5515,52,Maheu,Economy,2016,690,35,4,31,0.12,12,Low Digitalization
5523,52,Maheu,Economy,2016,691,35,17,18,0.48,48,Medium-Low Digitalization
5531,53,Duclos,Economy,2016,692,32,5,27,0.16,15,Low Digitalization
5539,53,Duclos,Economy,2016,693,32,15,17,0.47,47,Medium-Low Digitalization
5547,53,Duclos,Economy,2016,694,7,2,5,0.33,32,Medium-Low Digitalization
5555,53,Duclos,Economy,2016,695,20,6,14,0.32,31,Medium-Low Digitalization
5563,53,Duclos,Economy,2016,696,9,1,8,0.12,12,Low Digitalization
5571,53,Duclos,Economy,2016,697,14,6,8,0.46,46,Medium-Low Digitalization
5579,53,Duclos,Economy,2016,698,7,2,5,0.28,27,Medium-Low Digitalization
5587,53,Duclos,Economy,2016,699,9,3,6,0.29,28,Medium-Low Digitalization
5595,53,Duclos,Economy,2016,700,7,4,3,0.6,60,Medium-High Digitalization
5603,53,Duclos,Economy,2016,701,9,1,8,0.16,16,Low Digitalization
5611,53,Duclos,Economy,2016,702,16,12,4,0.75,75,Medium-High Digitalization
5619,53,Duclos,Economy,2016,703,36,25,11,0.69,69,Medium-High Digitalization
5627,54,Amar,Economy,2016,704,23,16,7,0.7,70,Medium-High Digitalization
5635,54,Amar,Economy,2016,705,15,1,14,0.08,7,Low Digitalization
5643,54,Amar,Economy,2016,706,9,0,9,0.01,1,Low Digitalization
5651,54,Amar,Economy,2016,707,16,4,12,0.26,25,Medium-Low Digitalization
5659,54,Amar,Economy,2016,708,24,6,18,0.25,25,Medium-Low Digitalization
5667,54,Amar,Economy,2016,709,7,4,3,0.54,54,Medium-High Digitalization
5675,54,Amar,Economy,2016,710,10,1,9,0.12,11,Low Digitalization
5683,54,Amar,Economy,2016,711,14,3,11,0.21,21,Medium-Low Digitalization
5691,54,Amar,Economy,2016,712,40,9,31,0.22,22,Medium-Low Digitalization
5699,54,Amar,Economy,2016,713,28,1,27,0.04,4,Low Digitalization
5707,54,Amar,Economy,2016,714,35,21,14,0.6,59,Medium-High Digitalization
5715,54,Amar,Economy,2016,715,29,9,20,0.32,32,Medium-Low Digitalization
5723,54,Amar,Economy,2016,716,33,10,23,0.29,29,Medium-Low Digitalization
5731,54,Amar,Economy,2016,717,6,3,3,0.57,57,Medium-High Digitalization
5739,54,Amar,Economy,2016,718,22,8,14,0.36,36,Medium-Low Digitalization
5747,54,Amar,Economy,2016,719,13,3,10,0.23,22,Medium-Low Digitalization
5755,54,Amar,Economy,2016,720,21,5,16,0.22,22,Medium-Low Digitalization
5763,54,Amar,Economy,2016,721,10,6,4,0.64,64,Medium-High Digitalization
5771,54,Amar,Economy,2016,722,32,20,12,0.61,61,Medium-High Digitalization
5779,55,Baise,Economy,2016,723,17,9,8,0.5,50,Medium-Low Digitalization
5787,55,Baise,Economy,2016,724,32,24,8,0.75,74,Medium-High Digitalization
5795,55,Baise,Economy,2016,725,26,16,10,0.63,63,Medium-High Digitalization
5803,55,Baise,Economy,2016,726,11,5,6,0.47,47,Medium-Low Digitalization
5811,55,Baise,Economy,2016,727,34,8,26,0.22,22,Medium-Low Digitalization
